file_version	1
	1	gold	8	863	160	
	2	gold	5	533	151	
	3	gold	5	548	211	
	4	gold	5	597	233	
	5	silver	5	655	229	
	6	silver	4	150	56	
	7	silver	4	207	60	
	8	silver	4	444	143	
	9	bronze	4	501	152	
	10	bronze	4	590	210	
	11	bronze	4	602	176	
	12	bronze	4	607	224	
	13		3	249	120	
	13		3	364	127	
	13		3	475	221	
	13		3	545	228	
	13		3	607	231	
	13		3	696	224	
	19		2	180	98	
	19		2	219	172	
	19		2	262	174	
	19		2	314	226	
	19		2	321	188	
	19		2	372	216	
	19		2	436	224	
	26	honorable	1	11	11	
	26	honorable	1	15	15	
	26	honorable	1	33	33	
	26	honorable	1	44	44	
	26	honorable	1	46	46	
	26	honorable	1	81	81	
	26	honorable	1	82	82	
	26	honorable	1	91	91	
	26	honorable	1	107	107	
	26	honorable	1	166	166	
	26	honorable	1	205	185	
	26	honorable	1	217	217	
	26	honorable	1	221	221	
	26	honorable	1	230	230	
	40	honorable	0	0	0	
	40	honorable	0	0	0	
	40	honorable	0	0	0	
	40	honorable	0	0	0	
	40	honorable	0	0	0	
